epoch,accuracy,loss,val_accuracy,val_loss
0,0.8698624968528748,0.3421313762664795,0.9429500102996826,0.16850605607032776
1,0.9310874938964844,0.20828913152217865,0.944100022315979,0.1566292941570282
2,0.9355124831199646,0.19192998111248016,0.944599986076355,0.15147332847118378
3,0.9389125108718872,0.18208327889442444,0.9463499784469604,0.14700715243816376
4,0.9409624934196472,0.17723721265792847,0.946399986743927,0.143376886844635
5,0.9425874948501587,0.17050030827522278,0.9466000199317932,0.14143246412277222
6,0.943387508392334,0.16545507311820984,0.9462500214576721,0.1420254409313202
7,0.9445875287055969,0.16400447487831116,0.9465500116348267,0.14060741662979126
8,0.9443374872207642,0.1621597707271576,0.946150004863739,0.1407022476196289
9,0.9459999799728394,0.159062460064888,0.9467499852180481,0.13856372237205505
